POOL_ADDRESS,POOL_NAME,GROSS_LIQUIDITY
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH 3000 60,307365204.47914875
0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC-USDT 500 10,218904028.98918796
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC-WETH 3000 60,210733527.90321833
0x6c6bc977e13df9b0de53b251522280bb72383700,DAI-USDC 500 10,122809153.86651115
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT 3000 60,99995238.61808185
0x5180545835bd68810fb7e11c7160bb7ea4ae8744,FEI-USDC 3000 60,66803251.39034812
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI-WETH 3000 60,65565191.317366555
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI-WETH 3000 60,48931857.75529687
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC-USDC 3000 60,31087220.216616377
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK-WETH 3000 60,23621159.105678253
0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR-WETH 3000 60,12918802.697312865
0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,DAI-USDT 500 10,12616008.99236771
0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI-USDC 500 10,10285819.060688779
0x5f78a75ee92885cb8b32bdde19b17600bebfb270,SEEDS-WETH 3000 60,9962047.237223653
0x06729eb2424da47898f935267bd4a62940de5105,CEL-WETH 3000 60,8332184.244546383
0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,ETH2x-FLI-WETH 3000 60,8125448.541217302
0xcd83055557536eff25fd0eafbc56e74a1b4260b3,PERP-WETH 3000 60,7819246.735834522
0x575700a2191097f626b651de014487cd873c99ea,EVAI-USDT 3000 60,7411787.021581789
0x9febc984504356225405e26833608b17719c82ae,1INCH-USDC 10000 200,7326063.3049682295
0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,RAI-DAI 500 10,7233853.907777697
0xe2c5d82523e0e767b83d78e2bfc6fcd74d1432ef,WETH-TRIBE 10000 200,5793088.724772326
0x99530180bd113a816f5920d0748528cfb2009585,SCOIN-USDT 3000 60,5773301.0235765
0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC-WETH 3000 60,5632646.2576099895
0x868b7bbbfe148516e5397f23982923686182c2d2,UST-USDT 500 10,5011218.901292338
0xf87bb87fd9ea1c260ddf77b9c707ad9437ff8364,WETH-TRIBE 3000 60,4945678.077577371
0x5764a6f2212d502bc5970f9f129ffcd61e5d7563,SHIB-WETH 10000 200,4451837.833056048
0x3139bbba7f4b9125595cb4ebeefdac1fce7ab5f1,RUNE-WETH 3000 60,4196280.2783564385
0xb7c90598ccdaebcd14f43fa6635c422c3c5cecca,FEI-USDT 3000 60,4048015.149570977
0x86e69d1ae728c9cd229f07bbf34e01bf27258354,WETH-TRU 10000 200,3059183.521037448
0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6,COMP-WETH 3000 60,2774625.5479349657
0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX-USDC 3000 60,2482501.4766910155
0x886072a44bdd944495eff38ace8ce75c1eacdaf6,MKR-WETH 500 10,2394615.7399740918
0x95311bbcf02608c64ec3889515af9fe43aea9e3a,WXT-WETH 10000 200,2360803.289775153
0xc772a65917d5da983b7fc3c9cfbfb53ef01aef7e,EPSTEIN-WETH 3000 60,2266017.7926349253
0xba8eb224b656681b2b8cce9c3fc920d98594675b,RSR-WETH 3000 60,2121260.0040248097
0x07ed78c6c91ce18811ad281d0533819cf848075b,ERN-WETH 3000 60,2065512.2589521073
0x06b1655b9d560de112759b4f0bf57d6f005e72fe,WETH-GTC 10000 200,1970009.839190425
0x04916039b1f59d9745bf6e0a21f191d1e0a84287,YFI-WETH 3000 60,1830005.8237865611
0xd0fc8ba7e267f2bc56044a7715a489d851dc6d78,UNI-USDC 3000 60,1826993.442939679
0x3470447f3cecffac709d3e783a307790b0208d60,UNI-USDT 3000 60,1661576.5568941103
0xf2c3bd0328bdb6106d34a3bd0df0ef744551cc82,HEGIC-WETH 10000 200,1660067.2755605641
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE-WETH 3000 60,1653383.3138108458
0xbcc2adccd4de0b2656179f729c98c39dcd68c84d,LUSD-DAI 3000 60,1627097.7891115777
0x2a84e2bd2e961b1557d6e516ca647268b432cba4,DAI-MKR 3000 60,1624115.4719499357
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH 10000 200,1523540.0068651983
0x9359c87b38dd25192c5f2b07b351ac91c90e6ca7,DPI-WETH 3000 60,1496975.6099156202
0x2a0330c7e979a4d18e5b0c987b877da24dd37d04,AIOZ-WETH 10000 200,1412318.923643671
0xe191ec484dc78f38b2bd733900288ff0cf2ba8a5,FARM-USDC 10000 200,1402228.7082295897
0x00f59b15dc1fe2e16cde0678d2164fd5ff10e424,STC-WETH 10000 200,1367756.6795583433
0x98409d8ca9629fbe01ab1b914ebf304175e384c8,WETH-VRA 3000 60,1280511.9036054844
0xba3f54d4ed114a359b3ab81ed11834a2b54addc1,WETH-$DG 3000 60,1174148.8727927606
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,LQTY-WETH 3000 60,1116926.4783752102
0xe40a2eab69d4de66bccb0ac8e2517a230c6312e8,GTON-USDC 3000 60,1096584.4013919197
0xe16be1798f860bc1eb0feb64cd67ca00ae9b6e58,WETH-ENJ 3000 60,1088457.44127561
0xc4580c566202f5343883d0c6a378a9de245c9399,OCC-USDC 3000 60,1037620.1849712231
0xefbd546647fda46067225bd0221e08ba91071584,RVP-WETH 10000 200,1028755.7818465094
0xede8dd046586d22625ae7ff2708f879ef7bdb8cf,SNX-WETH 3000 60,964357.551197895
0x3289c15810e20ace49ad16b56a0db8d78bd10117,WETH-CONV 3000 60,950827.8392391753
0xdd5a65da22031b6ae5205fd89f67b5141e4f0ead,UBT-WETH 3000 60,915160.2059537448
0x73a6a761fe483ba19debb8f56ac5bbf14c0cdad1,SUSHI-WETH 3000 60,910384.3618206064
0x92624da803a3e90f673c73195db8830f08219fc0,WETH-GDT 3000 60,905035.5881817937
0x22a80b1365b651eb61ed90f5d732be7735efc43f,RAZOR-WETH 3000 60,886062.1200545819
0x04ed15a29addad1e8189026d17879403997050a3,PSWAP-WETH 10000 200,851640.6317581161
0xd35efae4097d005720608eaf37e42a5936c94b44,1INCH-WETH 3000 60,786387.7757530466
0x3840d56cfe2c80ec2d6555dcda986a0982b0d2db,QUICK-WETH 3000 60,778151.8719433623
0x84ae4aa9581e6b7f50f660c5b6970aef1ed82be8,PPAY-WETH 3000 60,743351.2607230851
0xe4b82df044511a7162bea1f11119f6d1283a43a8,SHOPX-WETH 3000 60,725359.9718701949
0x1eefc75cc4458e651480e80d74b263b77a93cb11,PERP-WETH 10000 200,703835.4463408145
0xa424cea71c4aea3d11877240b2f221c027c0e0be,ALEPH-WETH 3000 60,661037.0677481742
0xc246467ab1466f4963ba45c335479b3055e82060,LEASH-WETH 10000 200,656535.1771705899
0x27dd7b7d610c9be6620a893b51d0f7856c6f3bfd,TLOS-WETH 3000 60,634629.9874475878
0xe8b977aa5a9303fa94818441d78575e0f697ae72,WETH-UOS 10000 200,630586.2682131254
0x35815d67f717e7bce9cc8519bdc80323ecf7d260,BNT-WETH 3000 60,616585.0521773007
0xcbbc981bd5b358d09a9346726115d3ac8822d00b,VXV-WETH 10000 200,601342.0206470268
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH 500 10,596145.8590436585
0x500dcb12218a66b4aca4cc246af1e4003d02e042,SACKS-WETH 500 10,578056.4155216904
0x5aaa28ca43c6646fd1403e508f0fca1d92357dde,LCX-WETH 10000 200,575085.486617727
0xf7849d0852fc588210b9c0d8b26f43c0c9bc1470,HOT-WETH 10000 200,558326.056932184
0xa20ad630cee74bc834aa9b8fcb432c5c02710479,REVV-WETH 3000 60,557715.0946309309
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD-USDC 500 10,524035.07541538216
0x4c54ff7f1c424ff5487a32aad0b48b19cbaf087f,NEXO-WETH 3000 60,522957.1374909642
0x21ca348fef9f09fdb79b155a75efa7f02f82733a,MIR-WBTC 3000 60,516318.18003288616
0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT 500 10,506574.5690890378
0x32ecd439b57fb881ea1f5df2f8581b6fdac0acac,CARD-WETH 3000 60,499125.9545355522
0x8661ae7918c0115af9e3691662f605e9c550ddc9,MANA-WETH 3000 60,491499.0647406326
0xb1608e16609a7ff3ac5b0da49a0539bb0c3c3d9d,EWTB-WETH 3000 60,451452.1638475308
0x126b3e5bfe28244626d4b294a84c50d8a2297859,STMX-WETH 3000 60,432472.1655509569
0xf9d00163f49fb4429714b50242524b43aa404c7b,DRC-WETH 3000 60,420381.6930533506
0x695b30d636e4f232d443af6a93df95afd2ff485c,WETH-BEPRO 3000 60,415792.9950974949
0xf5381d47148ee3606448df3764f39da0e7b25985,POLS-WETH 3000 60,413682.6907432852
0x14de8287adc90f0f95bf567c0707670de52e3813,RAI-WETH 3000 60,409281.77325063327
0x8b6ed5fa776f10787f1171bdeea4f3c40974df6e,DENT-WETH 10000 200,403261.36752955936
0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,UNI-WETH 500 10,398671.5502433487
