DATE,EXCHANGE,DEPOSITS_TO_EXCHANGES,WITHDRAWALS_FROM_EXCHANGES,NET_FLOW_TO_ETHEREUM
2021-05-24T00:00:00Z,uniswap,23309950.26531964,34917809.20250326,11607858.937183615
2021-05-24T00:00:00Z,binance,9479220.26494874,7401954.641763533,-2077265.6231852071
2021-05-24T00:00:00Z,huobi,7429928.038024271,4345361.253583571,-3084566.7844407
2021-05-24T00:00:00Z,coinbase,5360804.911018122,7007930.24258571,1647125.3315675883
2021-05-24T00:00:00Z,sushiswap,2390958.8315877104,3842989.2272260394,1452030.395638329
2021-05-24T00:00:00Z,hitbtc,1311123.6449519696,248937.10520394717,-1062186.5397480223
2021-05-24T00:00:00Z,tokenlon,1197561.939452197,1198709.3050409146,1147.3655887176283
2021-05-24T00:00:00Z,ftx,1157370.7289835415,48624.06743870923,-1108746.6615448322
2021-05-24T00:00:00Z,bitfinex,1011097.6472214173,60552.96600836529,-950544.681213052
2021-05-24T00:00:00Z,balancer,604187.1702754587,1254570.733591619,650383.5633161602
2021-05-24T00:00:00Z,gemini,597739.2390677454,398202.8044044483,-199536.43466329708
2021-05-24T00:00:00Z,bancor,494733.7729917118,1410389.410234937,915655.6372432252
2021-05-24T00:00:00Z,okex,480397.6515372901,463812.4365869155,-16585.21495037456
2021-05-23T00:00:00Z,uniswap,85513383.7085167,84878856.37895642,-634527.3295602798
2021-05-23T00:00:00Z,huobi,12006324.595897973,16323322.934672914,4316998.338774942
2021-05-23T00:00:00Z,binance,9220995.22965946,13969816.546166457,4748821.316506997
2021-05-23T00:00:00Z,coinbase,4836432.58270875,8271136.884292709,3434704.301583959
2021-05-23T00:00:00Z,sushiswap,4089770.482550514,3573722.458985585,-516048.02356492914
2021-05-23T00:00:00Z,gemini,2537470.7673696014,724356.0721591683,-1813114.695210433
2021-05-23T00:00:00Z,okex,1654866.7344016875,5797977.088303806,4143110.3539021187
2021-05-23T00:00:00Z,bancor,1529437.7034163591,1125156.0815678816,-404281.6218484775
2021-05-23T00:00:00Z,tokenlon,1421094.317463688,1558013.9684744375,136919.6510107494
