LIQUIDITY_PROVIDER,TOKEN,POOLNAME,FEES_COLLECTED_USD
0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,WETH,WBTC-WETH 3000 60,1401818.7937774956
0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,WBTC,WBTC-WETH 3000 60,1401818.7937774956
0xd7c9f3010efdff665ee72580ffa7b4141e56b17e,SHIB,SHIB-WETH 10000 200,1164457.1023879987
0xd7c9f3010efdff665ee72580ffa7b4141e56b17e,WETH,SHIB-WETH 10000 200,1164457.1023879987
0x22fa8cc33a42320385cbd3690ed60a021891cb32,USDC,USDC-WETH 3000 60,1089972.5539602288
0x22fa8cc33a42320385cbd3690ed60a021891cb32,WETH,USDC-WETH 3000 60,1089972.5539602288
0x5815d8951967e202d9b5380fed6c9f0a7fc71c5c,WETH,SHIB-WETH 10000 200,862948.6040994517
0x5815d8951967e202d9b5380fed6c9f0a7fc71c5c,SHIB,SHIB-WETH 10000 200,862948.6040994516
0x3f0f84b1a06c4281617be9af650395bf71660035,USDC,USDC-WETH 3000 60,729884.4947238162
0x3f0f84b1a06c4281617be9af650395bf71660035,WETH,USDC-WETH 3000 60,729884.4947238162
0x3f0f84b1a06c4281617be9af650395bf71660035,WETH,SHIB-WETH 10000 200,657147.2537049575
0x3f0f84b1a06c4281617be9af650395bf71660035,SHIB,SHIB-WETH 10000 200,657147.2537049575
0xe059e9d45850e5524c075b28b22c5939cc21c94b,USDC,USDC-WETH 3000 60,619128.064766861
0xe059e9d45850e5524c075b28b22c5939cc21c94b,WETH,USDC-WETH 3000 60,619128.064766861
0xde3e412d4fe3c9d90ac74d0a9b064951b39eeae4,WETH,SHIB-WETH 10000 200,584327.7248985432
0xde3e412d4fe3c9d90ac74d0a9b064951b39eeae4,SHIB,SHIB-WETH 10000 200,584327.7248985432
0x2f591ddf47366c899bab6c9e73668898fbc47d75,UNI,UNI-WETH 3000 60,440619.77825580456
0x2f591ddf47366c899bab6c9e73668898fbc47d75,WETH,UNI-WETH 3000 60,440619.7782558045
0x73ca8e7a9a6eec0ed257262ed8b6f8c0404b1227,USDT,WETH-USDT 3000 60,385047.7437566431
0x73ca8e7a9a6eec0ed257262ed8b6f8c0404b1227,WETH,WETH-USDT 3000 60,385047.74375664303
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,USDC,FEI-USDC 10000 200,376495.55495823396
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,FEI,FEI-USDC 10000 200,376495.55495823396
0x89cd98a69ac5dcff78c5f436a5a34e90bb257b84,USDT,WETH-USDT 3000 60,369034.2571221372
0x89cd98a69ac5dcff78c5f436a5a34e90bb257b84,WETH,WETH-USDT 3000 60,369034.2571221372
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,FEI,FEI-USDC 3000 60,352321.7236211314
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,USDC,FEI-USDC 3000 60,352321.7236211313
0x59ce4a2ac5bc3f5f225439b2993b86b42f6d3e9f,WETH,WETH-USDT 3000 60,338446.2415339338
0x59ce4a2ac5bc3f5f225439b2993b86b42f6d3e9f,USDT,WETH-USDT 3000 60,338446.2415339338
