BLOCK_HOUR,N_POOLS,TOTAL_LIQUIDITY_USD
2021-05-24T19:00:00Z,206,1145192195.0437572
2021-05-24T18:00:00Z,212,1142401486.4614644
2021-05-24T17:00:00Z,214,1084004104.3557029
2021-05-24T16:00:00Z,198,1095145869.795371
2021-05-24T15:00:00Z,210,1103972285.8576462
2021-05-24T14:00:00Z,203,1070204687.8739197
2021-05-24T13:00:00Z,191,1032136867.7775887
2021-05-24T12:00:00Z,221,1032049235.488924
2021-05-24T11:00:00Z,202,1030410250.5502692
2021-05-24T10:00:00Z,207,966339336.0578566
2021-05-24T09:00:00Z,191,969600958.6791096
2021-05-24T08:00:00Z,169,963892830.9364654
2021-05-24T07:00:00Z,199,966854361.9357094
2021-05-24T06:00:00Z,193,935734240.5781932
2021-05-24T05:00:00Z,172,904588188.7391423
2021-05-24T04:00:00Z,195,884789921.1871744
2021-05-24T03:00:00Z,183,900488145.2625221
2021-05-24T02:00:00Z,186,833858441.4620728
2021-05-24T01:00:00Z,192,850822047.5371531
2021-05-24T00:00:00Z,200,836500375.4942687
2021-05-23T23:00:00Z,197,790462769.5481839
2021-05-23T22:00:00Z,186,793267601.6589702
2021-05-23T21:00:00Z,217,826492068.777798
2021-05-23T20:00:00Z,208,850956513.6729629
2021-05-23T19:00:00Z,202,762722147.7087216
2021-05-23T18:00:00Z,178,732966799.0925623
2021-05-23T17:00:00Z,160,742714835.181635
2021-05-23T16:00:00Z,148,780746440.2530943
2021-05-23T15:00:00Z,195,769129129.8989102
2021-05-23T14:00:00Z,175,768062161.1554855
2021-05-23T13:00:00Z,191,774843208.961474
2021-05-23T12:00:00Z,170,786849676.3598504
2021-05-23T11:00:00Z,203,832091155.6698209
2021-05-23T10:00:00Z,208,788489306.8912114
2021-05-23T09:00:00Z,187,820759988.2099768
2021-05-23T08:00:00Z,180,851444902.2557793
2021-05-23T07:00:00Z,193,836339833.6465323
2021-05-23T06:00:00Z,173,814023556.4320209
2021-05-23T05:00:00Z,211,931100223.1597135
2021-05-23T04:00:00Z,159,803105469.7198943
2021-05-23T03:00:00Z,156,851946988.7433649
2021-05-23T02:00:00Z,165,852276355.015685
2021-05-23T01:00:00Z,165,879060082.9244472
2021-05-23T00:00:00Z,168,818396999.5751961
2021-05-22T23:00:00Z,185,824584956.503801
2021-05-22T22:00:00Z,180,801498151.2733128
2021-05-22T21:00:00Z,190,862198748.5035534
2021-05-22T20:00:00Z,186,808398102.8961459
2021-05-22T19:00:00Z,193,887117786.6813459
2021-05-22T18:00:00Z,212,849688711.8155738
2021-05-22T17:00:00Z,213,829716811.336539
2021-05-22T16:00:00Z,196,816928311.3049017
2021-05-22T15:00:00Z,192,806661145.3836371
2021-05-22T14:00:00Z,200,861143456.7648958
2021-05-22T13:00:00Z,195,840659158.2815619
2021-05-22T12:00:00Z,194,792362430.3061522
2021-05-22T11:00:00Z,191,863276529.6176866
2021-05-22T10:00:00Z,203,896701784.2394786
2021-05-22T09:00:00Z,194,811029839.6600105
2021-05-22T08:00:00Z,188,869911089.7676878
2021-05-22T07:00:00Z,191,772944827.0920299
2021-05-22T06:00:00Z,171,862319952.9652097
2021-05-22T05:00:00Z,181,868112895.0178392
2021-05-22T04:00:00Z,211,848147995.7255936
2021-05-22T03:00:00Z,173,820892245.2974437
2021-05-22T02:00:00Z,178,825129235.8553681
2021-05-22T01:00:00Z,186,839243469.3899541
2021-05-22T00:00:00Z,181,802138515.731444
2021-05-21T23:00:00Z,192,885383308.6643132
2021-05-21T22:00:00Z,194,826291897.0309265
2021-05-21T21:00:00Z,157,796904578.1507218
2021-05-21T20:00:00Z,177,864159204.9569231
2021-05-21T19:00:00Z,157,878662981.6609955
2021-05-21T18:00:00Z,169,855071688.1029706
2021-05-21T17:00:00Z,179,916380807.0085837
2021-05-21T16:00:00Z,75,673525099.06146
2021-05-21T15:00:00Z,172,904280026.6923198
2021-05-21T14:00:00Z,180,996966533.9596932
2021-05-21T13:00:00Z,167,975933601.3573844
2021-05-21T12:00:00Z,207,995272540.7350163
2021-05-21T11:00:00Z,179,961145697.0272437
2021-05-21T10:00:00Z,208,985796841.0840839
2021-05-21T09:00:00Z,191,951222294.1748016
2021-05-21T08:00:00Z,201,993862057.2530609
2021-05-21T07:00:00Z,182,907865783.7627877
2021-05-21T06:00:00Z,194,992928813.2735654
2021-05-21T05:00:00Z,198,981890317.3404151
2021-05-21T04:00:00Z,183,940482378.4828336
2021-05-21T03:00:00Z,179,915826926.6981329
2021-05-21T02:00:00Z,195,932112122.1206334
2021-05-21T01:00:00Z,203,933175402.8945873
2021-05-21T00:00:00Z,191,1002364620.0144653
2021-05-20T23:00:00Z,155,880667563.4871699
2021-05-20T22:00:00Z,116,768247508.0723209
2021-05-20T21:00:00Z,119,859422111.3980215
2021-05-20T20:00:00Z,169,923250981.9536551
2021-05-20T19:00:00Z,194,916925124.149412
2021-05-20T18:00:00Z,189,972167956.1484493
2021-05-20T17:00:00Z,173,957290143.4702876
2021-05-20T16:00:00Z,184,936216457.5646791
2021-05-20T15:00:00Z,200,999009502.4991758
2021-05-20T14:00:00Z,174,977407837.9708897
2021-05-20T13:00:00Z,200,1044810376.9000971
2021-05-20T12:00:00Z,209,992754886.3776393
2021-05-20T11:00:00Z,213,959756034.2577069
2021-05-20T10:00:00Z,196,885089112.2250379
2021-05-20T09:00:00Z,197,851269724.6924831
2021-05-20T08:00:00Z,169,887756248.2641008
2021-05-20T07:00:00Z,211,943563575.1510978
2021-05-20T06:00:00Z,204,898076645.8671005
2021-05-20T05:00:00Z,208,858412101.0219139
2021-05-20T04:00:00Z,187,818120140.9979864
2021-05-20T03:00:00Z,187,783242455.2487599
2021-05-20T02:00:00Z,185,772147041.7848623
2021-05-20T01:00:00Z,173,709818077.9810319
2021-05-20T00:00:00Z,158,732513226.1525497
2021-05-19T23:00:00Z,201,787094274.2899431
2021-05-19T22:00:00Z,174,784117236.0878801
2021-05-19T21:00:00Z,187,843680962.5267009
2021-05-19T20:00:00Z,178,802218068.6701783
2021-05-19T19:00:00Z,192,831573997.7260475
2021-05-19T18:00:00Z,182,833138038.2103143
2021-05-19T17:00:00Z,178,863735711.0528997
2021-05-19T16:00:00Z,196,828388620.4880427
2021-05-19T15:00:00Z,178,779183505.4579659
2021-05-19T14:00:00Z,133,704393003.3374306
2021-05-19T13:00:00Z,125,665445602.9363899
2021-05-19T12:00:00Z,173,804354241.6234714
2021-05-19T11:00:00Z,154,814455499.9178602
2021-05-19T10:00:00Z,203,920674454.982577
2021-05-19T09:00:00Z,184,917376705.1092945
2021-05-19T08:00:00Z,186,898480441.9695138
2021-05-19T07:00:00Z,185,893865596.5919642
2021-05-19T06:00:00Z,187,885450155.1579176
2021-05-19T05:00:00Z,157,879763273.7602173
2021-05-19T04:00:00Z,177,943653059.4811592
2021-05-19T03:00:00Z,166,915913630.6083331
2021-05-19T02:00:00Z,191,960159972.221275
2021-05-19T01:00:00Z,200,993377502.8077426
2021-05-19T00:00:00Z,176,950482394.9874704
2021-05-18T23:00:00Z,195,967169667.0448146
2021-05-18T22:00:00Z,170,965891440.6893532
2021-05-18T21:00:00Z,174,928199332.7301129
2021-05-18T20:00:00Z,181,992015229.7362516
2021-05-18T19:00:00Z,200,970748299.1994163
2021-05-18T18:00:00Z,192,962305306.18153
2021-05-18T17:00:00Z,178,974342939.9946811
2021-05-18T16:00:00Z,180,979206141.4553332
2021-05-18T15:00:00Z,175,952969123.469971
2021-05-18T14:00:00Z,204,986470354.9583567
2021-05-18T13:00:00Z,183,1000822855.8496773
2021-05-18T12:00:00Z,192,1030908577.689005
2021-05-18T11:00:00Z,195,1003374105.131504
2021-05-18T10:00:00Z,198,991869600.0278131
2021-05-18T09:00:00Z,180,988600928.795202
2021-05-18T08:00:00Z,180,937831610.8851504
