DATE,TOTAL_DEPOSITS_USD,TOTAL_WITHDRAWLS_USD
2021-05-24T00:00:00Z,631959830.9329928,-407646055.64641577
2021-05-23T00:00:00Z,307761717.47714293,-300028785.99755865
2021-05-22T00:00:00Z,265089847.0590602,-214235640.64667332
2021-05-21T00:00:00Z,338820725.8447494,-345148277.8356465
2021-05-20T00:00:00Z,259120459.6858353,-154225325.48539937
2021-05-19T00:00:00Z,320874774.8122505,-369497373.02924925
2021-05-18T00:00:00Z,275802956.64551604,-216335782.64982814
2021-05-17T00:00:00Z,280164388.62862664,-201433410.920595
2021-05-16T00:00:00Z,177074282.4315316,-153756753.45827064
2021-05-15T00:00:00Z,182012908.66139802,-126541349.60106353
2021-05-14T00:00:00Z,246736381.19053298,-250285380.71518618
2021-05-13T00:00:00Z,232973696.5204949,-156252888.36804307
2021-05-12T00:00:00Z,270290238.1990433,-100329939.31724422
2021-05-11T00:00:00Z,168692968.7181112,-54807996.2574194
2021-05-10T00:00:00Z,142854551.9243804,-141790203.30359676
2021-05-09T00:00:00Z,180784952.11652714,-139428345.80926195
2021-05-08T00:00:00Z,266250852.68296787,-216294376.14390612
2021-05-07T00:00:00Z,246664833.53870156,-115017055.00473654
2021-05-06T00:00:00Z,317218297.55912644,-87624639.39581156
2021-05-05T00:00:00Z,157008943.23520446,-15061381.738570428
2021-05-04T00:00:00Z,165770.23676766854,-6.146167063700188
