BLOCK_HOUR,POOL_ADDRESS,POOL_NAME,N_TRADES,N_TRADERS,TRADING_VOL_TOKEN0,TRADING_VOL_TOKEN1
2021-05-24T00:00:00Z,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH 3000 60,2602,408,55192462.87149045,468930173.5048253
2021-05-24T00:00:00Z,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT 3000 60,2206,395,-26700878.792386435,220583926.22067243
2021-05-24T00:00:00Z,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI-WETH 3000 60,1264,139,3472102.396732408,55188076.5502771
2021-05-24T00:00:00Z,0x5764a6f2212d502bc5970f9f129ffcd61e5d7563,SHIB-WETH 10000 200,1188,914,-407941.35359315504,13202853.209818808
2021-05-24T00:00:00Z,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC-USDT 500 10,1131,407,22541145.855845246,112673323.04930058
2021-05-24T00:00:00Z,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI-USDC 500 10,839,298,26257183.148166798,77068829.30882369
2021-05-24T00:00:00Z,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH 500 10,753,249,178825.39328979596,2505952.065693963
2021-05-24T00:00:00Z,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,SHIB-WETH 3000 60,743,556,-376.4900074809888,449708.0974179944
2021-05-24T00:00:00Z,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC-WETH 3000 60,730,265,-458050.47548245586,13881456.340073898
2021-05-24T00:00:00Z,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC-WETH 3000 60,647,72,31241651.981052704,145092529.5403034
2021-05-24T00:00:00Z,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,DAI-USDT 500 10,488,183,12344837.770263469,30533304.06283699
2021-05-24T00:00:00Z,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC-USDC 3000 60,459,142,-2160372.225166853,21057585.29164228
2021-05-24T00:00:00Z,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR-WETH 3000 60,437,39,-2171780.853657408,24188490.304457415
2021-05-24T00:00:00Z,0xa16495105b1da7738d9aac1494459bd7982c05e4,GERO-WETH 10000 200,402,288,-7422.138881325563,288878.2943925608
2021-05-24T00:00:00Z,0x60594a405d53811d3bc4766596efd80fd545a270,DAI-WETH 500 10,393,63,45846.61091242,688544.6515358018
